"","country","data.doses_admin","data.raw_full_vac","data.percent_full_vac","data.date"
"126","San Marino",47378,"22218","65.6172474896633",1635120000
"127","Sao Tome and Principe",103720,"27883","12.9654601592143",1635120000
"128","Saudi Arabia",45275565,"21114873","61.615932262979",1635120000
"129","Senegal",1961144,"879073","5.3942891800895",1635120000
"130","Serbia",6721216,"2941696","42.3571863109658",1635120000
"131","Seychelles",159392,"74778","76.5971830985915",1635120000
"132","Sierra Leone",396196,"110744","1.4173934801487",1635120000
"133","Singapore",9989540,"4693995","82.2992585870356",1635120000
"134","Slovakia",4866847,"2289415","41.976244175683",1635120000
"135","Slovenia",2294489,"1111603","53.239068443341",1635120000
"136","Solomon Islands",152832,"28497","4.25440750765501",1635120000
"137","South Africa",21321996,"11036024","18.8462261607114",1635120000
"138","South Sudan",122889,"38653","0.349417873420747",1635120000
"139","Spain",71275614,"37199581","79.0189562876017",1635120000
"140","Sri Lanka",28102233,"13038469","59.8012612943173",1635120000
"141","Sudan",2111141,"581846","1.35903292341495",1635120000
"142","Suriname",440557,"194088","33.3849935410406",1635120000
"143","Sweden",14335108,"6845102","66.551293365494",1635120000
"144","Switzerland",10933659,"5416741","63.1702288744549",1635120000
"145","Syria",902519,"367744","2.15431219495335",1635120000
"146","Taiwan*",21717020,"6161500","25.9171032943892",1635120000
"147","Thailand",70279624,"26474522","38.0241302686705",1635120000
"148","Togo",1287154,"419768","5.1936277075302",1635120000
"149","Trinidad and Tobago",1200876,"583447","41.8249672215878",1635120000
"150","Tunisia",8747863,"4240154","36.256997709821",1635120000
"151","Turkey",115255712,"48043489","57.5856534876734",1635120000
"152","United States",413645478,"190578704","58.0608642914705",1635120000
"153","Uganda",2990507,"415486","0.938535826644355",1635120000
"154","Ukraine",15955360,"6963577","15.6889775421535",1635120000
"155","United Arab Emirates",20900490,"8594723","87.9657897745352",1635120000
"156","United Kingdom",96039017,"45489980","68.0637165842952",1635120000
"157","Uruguay",6548306,"2612719","75.4742854303652",1635120000
"158","Uzbekistan",24710357,"5882086","17.5162958429929",1635120000
"159","Venezuela",16127242,"6190629","21.7094477596987",1635120000
"160","Vietnam",71889209,"20731417","21.491773152869",1635120000
"161","World",6807255168,"2860737765","37.2805773023609",1635120000
"162","Zambia",871881,"511004","2.86099961760324",1635120000
"163","Zimbabwe",5826876,"2550130","17.4124172747501",1635120000
